ID,RA (core),DEC (core),RA (centroid),DEC (centroid),FLUX,Core frac,BMAJ,BMIN,PA,SIZE,CLASS,SELECTION,x,y
13680027,-0.37821403,-29.76923943,-0.37834007,-29.76870405,2.92961e-06,0.0050281,62.156,28.239,355.533,1,1,1,1989,1407
28478450,-0.65523988,-29.54709435,-0.66238898,-29.55138278,4.17467e-06,0.0121979,239.914,134.904,105.239,1,1,1,3465,2695
34309195,-0.07403406,-29.64870644,-0.07351291,-29.64783841,9.05598e-06,0.00469359,124.436,75.537,9.464,1,1,1,413,2130
8558669,-0.18011169,-29.47437096,-0.17977695,-29.47441068,1.40747e-05,0.00263758,15.586,8.694,21.798,1,1,1,965,3163
4800854,-0.3946127,-29.66390038,-0.39573025,-29.66348305,0.000389964,0.00389863,59.512,26.777,307.983,1,1,1,2081,2034
9458026,-0.42600605,-29.69116974,-0.42618475,-29.69118268,0.00137163,0.035093,47.499,47.145,326.927,1,1,1,2238,1868
33938384,-0.31637517,-29.69764709,-0.31637517,-29.69764709,1.65075e-05,0.0,0.847,0.266,346.641,2,1,1,1670,1832
7527248,-0.336528,-29.62733459,-0.33652675,-29.6273377,5.4275e-05,0.04476326,3.343,1.515,279.006,1,1,1,1775,2250
25169187,-0.57359755,-29.76266861,-0.57359755,-29.76266861,0.00150475,0.0,0.541,0.239,231.082,2,1,1,2999,1439
26661333,-0.16719949,-29.73089409,-0.16716046,-29.73097881,4.29392e-06,0.005325,6.251,5.404,167.69,1,1,1,897,1635
24500499,-0.23926634,-29.54842567,-0.23924189,-29.54837424,1.45762e-05,0.00257397,7.628,7.295,311.0,1,1,1,1272,2722
10523388,-0.35428315,-29.74031448,-0.35478784,-29.74019885,0.000288604,0.0011509,52.046,27.322,10.662,1,1,1,1868,1578
25734223,-0.07770549,-29.43830109,-0.07758551,-29.43853896,2.28488e-05,0.01231509,41.505,15.334,46.061,1,1,1,435,3377
33625927,-0.29932112,-29.60474014,-0.29924485,-29.60448287,6.85618e-06,0.00344476,7.729,6.252,240.87,1,1,1,1583,2387
33097658,-0.26834336,-29.74534416,-0.26830741,-29.74534364,4.48095e-06,0.04228221,15.864,10.457,172.453,1,1,1,1420,1548
23062919,-0.46979031,-29.75119209,-0.46993469,-29.75125507,1.0192e-05,0.00315817,12.989,9.992,129.692,1,1,1,2463,1509
10925374,-0.03588661,-29.70593452,-0.03595671,-29.70585355,0.000649538,0.01466061,9.677,5.342,265.569,1,1,1,219,1785
22457735,-0.40581241,-29.6869278,-0.40560041,-29.68687504,7.06214e-06,0.0057374,15.205,10.737,353.755,1,1,1,2132,1894
5197211,-0.6517638,-29.78116608,-0.65162825,-29.78130452,0.000131806,0.02632137,30.55,15.688,33.667,1,1,1,3402,1326
2548994,-0.32073933,-29.40769577,-0.32078975,-29.40757205,3.63692e-06,0.07407511,31.813,15.965,357.796,1,1,1,1697,3560
18884761,-0.12288767,-29.93397903,-0.12364345,-29.93461592,1.08179e-05,0.0064022,68.753,37.017,160.97,1,1,1,671,422
1856919,-0.39066896,-29.47060776,-0.39022046,-29.47119358,7.57907e-06,0.00511638,46.114,30.508,214.927,1,1,1,2057,3180
17821994,-0.33689719,-29.93543816,-0.33592072,-29.93466224,7.55645e-06,0.02993274,182.403,80.07,31.133,1,1,1,1767,419
16950738,-0.63878846,-29.41836357,-0.63853826,-29.41808241,0.00043008,0.07533379,79.694,41.693,350.455,1,1,1,3346,3490
25738296,-0.54745877,-29.8070488,-0.54896038,-29.80912324,0.011433,0.012683,117.889,90.132,276.421,1,1,1,2870,1163
8321392,-0.41073665,-29.46133041,-0.41091306,-29.46133543,7.68567e-06,0.00853779,13.692,10.171,45.227,1,1,1,2164,3238
20889285,-0.26333067,-29.62630272,-0.26332214,-29.62632482,6.97349e-05,0.04400276,12.014,10.677,305.85,1,1,1,1396,2257
16966681,-0.50734746,-29.56300926,-0.50735932,-29.56318058,0.000302895,0.0066893,15.336,14.27,149.331,1,1,1,2662,2629
15613859,-0.57078618,-29.47325706,-0.57064699,-29.47370858,2.97572e-06,0.01267788,21.783,17.349,325.126,1,1,1,2992,3161
27469422,-0.44495064,-29.74965477,-0.44524185,-29.75070128,5.68826e-06,0.01524907,33.918,20.632,146.913,1,1,1,2336,1513
9903348,-0.18053339,-29.59004784,-0.1805856,-29.59018734,0.00192,0.03170507,28.043,26.006,277.345,1,1,1,968,2473
8030569,-0.31025243,-29.80904961,-0.31016104,-29.80879621,6.33024e-06,0.19872109,37.465,33.979,221.369,1,1,1,1636,1169
34847801,-0.24147567,-29.93309593,-0.2396637,-29.93237275,3.25747e-06,0.00382187,155.85,91.099,281.716,1,1,1,1270,434
30134950,-0.62293923,-29.54088402,-0.61300891,-29.54664413,2.8928e-05,0.00349133,226.902,85.87,341.771,1,1,1,3210,2725
23862318,-0.04225943,-29.48290253,-0.04228697,-29.48290362,1.06769e-05,0.00919853,5.718,3.09,237.226,1,1,1,252,3113
34702145,-0.51324815,-29.86951637,-0.51324815,-29.86951637,0.000124318,0.0,1.227,0.277,221.871,2,1,1,2684,804
24276816,-0.19319057,-29.72446251,-0.1930009,-29.7244257,8.53325e-06,0.0020624,8.928,4.118,166.54,1,1,1,1031,1673
9325161,-0.52390689,-29.81973457,-0.52389265,-29.81979416,4.56426e-06,0.00818618,22.659,12.193,347.998,1,1,1,2740,1100
11654154,-0.39661956,-29.76186943,-0.39676319,-29.76186623,2.78457e-05,0.0121039,14.242,12.62,292.974,1,1,1,2085,1448
4498855,-0.59134698,-29.65801811,-0.59150155,-29.65805988,6.40179e-06,0.00400996,22.474,7.087,104.064,1,1,1,3095,2062
30058356,-0.15962411,-29.8105545,-0.15965197,-29.81056466,4.7572e-06,0.04657515,30.428,24.492,322.613,1,1,1,858,1161
31103220,-0.08410061,-29.63942337,-0.08383735,-29.63979943,6.47019e-06,0.00361954,59.02,32.793,220.539,1,1,1,467,2178
35722895,-0.48109519,-29.60872269,-0.48124764,-29.60899119,5.71839e-06,0.00960328,84.026,35.803,74.369,1,1,1,2525,2357
33138512,-0.54335845,-29.91159439,-0.54386253,-29.91122116,4.59129e-06,0.08840492,134.964,86.419,60.497,1,1,1,2841,555
11802641,-0.23972626,-29.47924614,-0.23991567,-29.47767746,7.16879e-05,0.08895345,195.996,85.35,32.374,1,1,1,1277,3143
29222760,-0.23754883,-29.78971291,-0.23753141,-29.78970196,2.93206e-05,0.00679909,3.774,1.717,120.914,1,1,1,1261,1284
30648026,-0.10988612,-29.40697098,-0.10988498,-29.40698482,2.08067e-05,0.00684164,5.558,2.912,337.284,1,1,1,603,3565
7276887,-0.05067327,-29.81374359,-0.05066419,-29.81376848,4.74875e-06,0.02014777,8.629,4.606,4.669,1,1,1,294,1142
28239001,-0.43681091,-29.73127937,-0.43704453,-29.73099901,3.23408e-06,0.00803441,18.854,6.599,39.265,1,1,1,2294,1631
35352371,-0.17870247,-29.92688751,-0.17874274,-29.92690037,4.83813e-06,0.01431292,8.649,1.992,258.813,1,1,1,955,467
3582084,-0.62504464,-29.49290657,-0.62500146,-29.49292844,1.46161e-05,0.00766546,9.078,3.811,89.88,1,1,1,3274,3045
24834558,-0.61067915,-29.57507324,-0.61030405,-29.57505662,7.1913e-05,0.01645148,19.577,8.681,119.977,1,1,1,3195,2556
7711755,-0.47043899,-29.67178535,-0.46988577,-29.67176366,3.30322e-06,0.01534375,15.284,14.822,175.957,1,1,1,2465,1983
7543147,-0.6245594,-29.45118713,-0.62459737,-29.45134413,2.4811e-05,0.0031938,23.887,14.614,143.756,1,1,1,3273,3292
17485909,-0.15732437,-29.45648193,-0.1575068,-29.45626981,5.36932e-06,0.21110499,40.373,19.083,174.42,1,1,1,850,3271
11466806,-0.31375092,-29.77539825,-0.31351198,-29.77509381,9.19551e-06,0.00437682,37.785,19.82,313.286,1,1,1,1654,1370
28882573,-0.35221627,-29.55063248,-0.35281367,-29.55040423,7.98069e-05,0.00527209,46.525,19.981,32.332,1,1,1,1861,2708
27514971,-0.01445858,-29.93300438,-0.01412142,-29.93270495,0.0393243,0.00421603,31.508,17.616,353.308,1,1,1,105,433
26345257,-0.05577813,-29.47392464,-0.05566744,-29.47391179,1.08983e-05,0.00827429,25.692,9.894,131.372,1,1,1,321,3167
36162789,-0.40597722,-29.78841591,-0.40587399,-29.78803265,8.91421e-06,0.01289331,44.423,24.699,142.542,1,1,1,2131,1292
33488570,-0.01572761,-29.52505875,-0.01773192,-29.52291976,0.000159354,0.0,75.445,29.722,305.627,1,1,1,124,2875
4025587,-0.17751528,-29.66266823,-0.17756908,-29.66264267,4.66259e-06,0.0,4.305,1.771,329.421,1,1,1,952,2042
8852794,-0.08119473,-29.86500168,-0.08118239,-29.8648683,8.71252e-06,0.01320395,4.447,1.878,14.857,1,1,1,452,837
34127117,-0.38171974,-29.93973923,-0.38171974,-29.93973923,3.02377e-05,0.0,0.718,0.486,167.403,2,1,1,2003,388
7402705,-0.15071112,-29.67694473,-0.1506939,-29.67685645,2.61076e-05,0.0229346,5.099,2.309,121.61,1,1,1,813,1957
32163882,-0.22186516,-29.85379601,-0.22164025,-29.85402661,5.74863e-06,0.00877836,9.528,6.084,239.251,1,1,1,1178,901
6259697,-0.49935296,-29.76963043,-0.49939322,-29.76969241,6.70674e-06,0.01074915,5.443,5.376,191.055,1,1,1,2615,1399
26073296,-0.20080009,-29.71625328,-0.20079847,-29.71625641,1.94211e-05,0.01195534,8.598,3.845,268.856,1,1,1,1071,1722
1425185,-0.1108429,-29.8810997,-0.10966967,-29.88132074,2.38428e-05,0.00063649,18.78,7.052,329.759,1,1,1,599,739
33993155,-0.30304292,-29.61380768,-0.30321588,-29.61404582,4.13531e-05,0.00608792,13.306,7.453,143.757,1,1,1,1603,2330
13583700,-0.16228878,-29.44683075,-0.16199364,-29.44679895,3.11302e-06,0.0050887,18.472,17.264,313.482,1,1,1,873,3328
2591345,-0.57884783,-29.83678627,-0.57884057,-29.83704495,6.87434e-06,0.01135043,20.87,18.143,223.177,1,1,1,3024,996
11521650,-0.53021002,-29.93396568,-0.53023563,-29.93400543,0.000154594,0.04773134,29.167,16.924,2.241,1,1,1,2770,419
20669483,-0.44687966,-29.46773148,-0.44635341,-29.46888487,5.25956e-06,0.00074734,32.524,22.526,273.22,1,1,1,2348,3192
31272420,-0.05242994,-29.84926987,-0.0533182,-29.84864774,9.7065e-06,0.01291613,66.442,27.619,206.9,1,1,1,308,934
30762954,-0.24258812,-29.68563843,-0.24230058,-29.68591214,4.96505e-06,0.0143761,36.951,15.323,70.645,1,1,1,1287,1902
6291400,-0.19712386,-29.86485672,-0.19710945,-29.8649151,9.35149e-06,0.24905557,5.166,2.191,50.205,1,1,1,1051,836
12607559,-0.4118357,-29.47422028,-0.41179449,-29.47422681,3.72312e-06,0.00415078,5.518,4.085,230.356,1,1,1,2168,3161
34804464,-0.00949742,-29.90288734,-0.00952557,-29.9028875,2.98381e-05,0.01010718,5.316,2.413,291.791,1,1,1,82,611
8157608,-0.25979322,-29.4126091,-0.25972711,-29.41254604,2.60243e-05,0.0036754,10.57,5.179,291.763,1,1,1,1380,3531
7933177,-0.46892077,-29.44888496,-0.4689456,-29.44886337,3.7059e-06,0.02237092,8.724,7.771,218.161,1,1,1,2465,3311
36386021,-0.64559442,-29.89746094,-0.64532669,-29.89736951,8.95725e-06,0.0,7.915,6.523,26.988,1,1,1,3366,635
3186860,-0.52458817,-29.63180542,-0.52471949,-29.63173854,4.96832e-06,0.00923498,14.553,11.906,103.369,1,1,1,2750,2220
16084650,-0.05423917,-29.90418053,-0.0539009,-29.90473931,3.91259e-06,0.0,33.59,12.435,117.345,1,1,1,311,600
26362855,-0.64394605,-29.62934685,-0.64440009,-29.6291274,9.08791e-06,0.00664601,37.12,16.06,27.568,1,1,1,3370,2233
30386780,-0.32980153,-29.49731636,-0.32997739,-29.49720767,1.65593e-05,0.0045964,15.74,15.308,21.705,1,1,1,1744,3026
1914185,-0.63289756,-29.41196442,-0.63291502,-29.4119265,5.28327e-06,0.2524283,25.537,6.367,163.666,1,1,1,3317,3527
22631783,-0.14453003,-29.62325668,-0.1443815,-29.62355561,1.18011e-05,0.03458571,66.665,65.662,81.172,1,1,1,780,2275
5349921,-0.56865931,-29.81656265,-0.5682244,-29.81707377,1.56672e-05,0.00426858,84.998,68.597,202.384,1,1,1,2970,1115
13219667,-0.21206209,-29.79289818,-0.21204769,-29.79294873,3.16711e-06,0.01072413,2.885,1.955,37.82,1,1,1,1129,1265
9291874,-0.15390168,-29.63388443,-0.15390483,-29.63386162,0.000526243,0.00265255,3.252,1.851,45.994,1,1,1,830,2213
2927894,-0.14621,-29.61540222,-0.1461639,-29.61541976,3.53279e-06,0.02362752,7.179,5.194,64.699,1,1,1,790,2323
28665206,-0.41798812,-29.71878815,-0.41750085,-29.71905388,3.87823e-05,0.0,12.809,8.259,144.819,1,1,1,2193,1702
3567765,-0.30919105,-29.46443176,-0.30914775,-29.4644175,3.84783e-06,0.03461875,13.34,9.852,184.892,1,1,1,1636,3221
21522090,-0.20555121,-29.73251724,-0.20566578,-29.73246402,9.453e-06,0.02251203,28.951,14.665,231.68,1,1,1,1097,1625
6682129,-0.42643377,-29.52305412,-0.42664408,-29.52306364,1.48309e-05,0.0131837,12.669,10.736,117.399,1,1,1,2244,2870
2420585,-0.52663237,-29.57553864,-0.52658785,-29.57578537,0.000245211,0.00350803,34.749,17.134,168.075,1,1,1,2761,2554
10072343,-0.56527072,-29.77893829,-0.56515541,-29.77927644,3.17339e-06,0.03192612,46.964,17.961,258.949,1,1,1,2955,1340
35521197,-0.07823915,-29.70033073,-0.07850459,-29.70040223,6.19712e-05,0.00438787,22.538,18.874,134.674,1,1,1,439,1817
30848537,-0.13442636,-29.51576996,-0.13456295,-29.51609909,3.16613e-06,0.01884166,66.84,65.431,335.121,1,1,1,730,2915
14004367,-0.40043527,-29.7578373,-0.400418,-29.75789722,0.000132322,0.08609949,7.786,4.12,215.682,1,1,1,2104,1471
34521896,-0.63573194,-29.42964554,-0.63472871,-29.42969049,0.000476193,0.0,54.425,35.215,172.49,1,1,1,3326,3421
17113142,-0.58936369,-29.43941307,-0.58932494,-29.43942597,0.00196022,0.03173843,6.115,4.643,325.641,1,1,1,3090,3364
6075370,-0.39379236,-29.90789032,-0.39380955,-29.90787755,1.01304e-05,0.00250186,2.916,2.087,18.877,1,1,1,2066,578
4339264,-0.08080071,-29.43889236,-0.08078589,-29.43887878,1.70056e-05,0.00642567,3.271,1.696,109.286,1,1,1,452,3375
28165870,-0.51552129,-29.65109062,-0.51560836,-29.65114838,3.05075e-06,0.00488575,11.422,7.268,154.329,1,1,1,2702,2105
27342073,-0.55083674,-29.67987061,-0.5508176,-29.67989761,3.30143e-06,0.00435515,8.513,4.291,219.703,1,1,1,2884,1933
25219440,-0.20789845,-29.60153389,-0.20812102,-29.60145817,9.0857e-06,0.02139053,11.9,10.842,295.897,1,1,1,1111,2406
34375760,-0.29901868,-29.48705482,-0.2990654,-29.48710542,1.60145e-05,0.0,11.27,2.792,47.733,1,1,1,1583,3086
6968510,-0.63838744,-29.70512581,-0.63777827,-29.70523856,0.00106125,0.00054567,11.415,9.924,330.211,1,1,1,3333,1779
2228903,-0.40848795,-29.65574646,-0.40838979,-29.65561611,3.36743e-06,0.00351166,18.961,14.385,346.093,1,1,1,2147,2080
14062088,-0.54684085,-29.41249275,-0.54649292,-29.41228641,3.56879e-06,0.26890714,41.643,16.193,185.297,1,1,1,2869,3527
17050809,-0.33911777,-29.64965057,-0.33970207,-29.6502006,7.69497e-06,0.01444192,36.348,17.789,2.76,1,1,1,1791,2114
13275666,-0.2129897,-29.69176292,-0.21164919,-29.68958822,2.72618e-05,0.00133966,27.991,20.453,242.526,1,1,1,1128,1881
5969296,-0.12223848,-29.82089996,-0.12224983,-29.82088798,0.00053061,0.04631746,20.937,17.16,164.123,1,1,1,664,1099
20328144,-0.10852606,-29.90854263,-0.10868497,-29.90917918,3.60347e-06,0.21759309,68.846,63.458,289.912,1,1,1,594,573
22942233,-0.15750261,-29.55261803,-0.15711791,-29.5519254,4.47419e-06,0.22397824,92.579,59.389,124.903,1,1,1,847,2701
3227666,-0.41737348,-29.6009655,-0.41768059,-29.60090055,4.02939e-06,0.00395075,59.868,50.772,80.881,1,1,1,2196,2406
11984143,-0.40096217,-29.61534882,-0.3994232,-29.61629686,6.09716e-06,0.00880813,99.95,61.944,263.183,1,1,1,2101,2315
13498686,-0.62602395,-29.63175774,-0.63195173,-29.62824935,5.67623e-06,0.00065807,115.478,65.33,344.331,1,1,1,3305,2238
12751352,-0.42184693,-29.5885334,-0.42642707,-29.59323506,8.92033e-06,0.00076542,112.395,56.532,67.656,1,1,1,2242,2452
27246235,-0.45984498,-29.93734169,-0.45625276,-29.93907002,2.77718e-05,0.00276451,135.483,66.582,160.541,1,1,1,2388,391
23421681,-0.25275761,-29.74978638,-0.25240052,-29.74980385,0.000153239,0.0,25.339,16.867,179.222,1,1,1,1338,1522
1976036,-0.31986442,-29.64276886,-0.31986442,-29.64276886,0.000773093,0.0,1.615,0.55,358.954,2,1,1,1689,2158
31022065,-0.14538296,-29.47986984,-0.14538182,-29.47986968,2.26219e-05,0.09832831,3.476,2.637,288.067,1,1,1,787,3131
8067262,-0.38636971,-29.51918793,-0.38630831,-29.51917452,0.000145411,0.00470522,3.853,3.01,321.065,1,1,1,2035,2894
25313720,-0.14860848,-29.65631104,-0.14860848,-29.65631104,9.24376e-06,0.0,2.997,0.695,344.128,2,1,1,802,2080
12040859,-0.42404351,-29.41988373,-0.4242991,-29.42002825,6.23274e-06,0.01678193,12.872,8.947,19.678,1,1,1,2234,3484
4816943,-0.09967902,-29.51061058,-0.09962865,-29.51091157,0.000126417,0.0051333,13.577,10.942,186.836,1,1,1,549,2946
16163763,-0.35178193,-29.4654007,-0.35144674,-29.46550056,1.07504e-05,0.03444334,41.668,16.718,188.607,1,1,1,1856,3214
13168972,-0.28035945,-29.40795898,-0.28094771,-29.40833818,2.9473e-06,0.02294815,88.494,49.23,282.231,1,1,1,1491,3556
29966044,-0.34231499,-29.5292263,-0.34212102,-29.52924936,3.67827e-06,0.00474842,56.608,15.037,247.456,1,1,1,1806,2834
25222777,-0.61866981,-29.82812309,-0.6197694,-29.82714066,5.53545e-06,0.00368427,132.151,53.971,28.872,1,1,1,3236,1054
33430772,-0.09525408,-29.64774704,-0.09530349,-29.64769898,3.70914e-06,0.0,1.99,1.301,134.755,1,1,1,526,2131
31906423,-0.52927846,-29.79042435,-0.52954483,-29.79034769,5.62082e-06,0.0042977,5.572,3.209,326.273,1,1,1,2770,1275
28299360,-0.42849785,-29.65038109,-0.42849785,-29.65038109,9.51782e-06,0.0,1.734,0.374,294.299,2,1,1,2251,2111
7497933,-0.1551574,-29.66411972,-0.15526386,-29.66408397,1.34095e-05,0.00917537,9.042,3.586,111.401,1,1,1,836,2033
7021946,-0.62782431,-29.46545029,-0.62782431,-29.46545029,1.935e-05,0.0,1.858,0.895,240.696,2,1,1,3289,3208
11698791,-0.04244749,-29.46188736,-0.04246586,-29.46188831,8.6478e-05,0.03031659,3.074,2.367,24.64,1,1,1,253,3238
28251685,-0.58164424,-29.4190464,-0.58164424,-29.4190464,0.0158843,0.0,1.311,0.888,205.388,2,1,1,3051,3486
29061101,-0.20340437,-29.61793327,-0.20325772,-29.61788399,5.08531e-06,0.0050249,6.266,6.143,299.546,1,1,1,1085,2308
13206448,-0.14176708,-29.41604424,-0.14173056,-29.41602419,9.45845e-05,0.02936973,6.964,5.954,194.362,1,1,1,768,3511
34093243,-0.61109328,-29.92763138,-0.61105217,-29.92776401,0.000199483,0.00762419,13.672,6.971,344.317,1,1,1,3188,454
14843275,-0.27204457,-29.66641617,-0.27196862,-29.66653094,0.000191053,0.0,5.569,3.659,303.575,1,1,1,1440,2018
9401730,-0.57918638,-29.81473732,-0.57917161,-29.81476314,4.73079e-06,0.03764777,9.3,6.215,87.875,1,1,1,3026,1129
2312778,-0.21215181,-29.50871086,-0.2124656,-29.50970487,1.18342e-05,0.0034885,22.698,11.057,269.165,1,1,1,1134,2953
32397690,-0.3256537,-29.64237976,-0.32521101,-29.64230857,1.45346e-05,0.00639342,21.833,9.932,218.034,1,1,1,1716,2161
29020364,-0.66146016,-29.65131569,-0.66168563,-29.65165713,3.76621e-05,0.01421278,18.842,17.355,278.789,1,1,1,3458,2098
29224114,-0.66761708,-29.69697952,-0.66794539,-29.6969799,4.88055e-06,0.09874859,61.194,41.668,93.242,1,1,1,3489,1828
25434375,-0.43065739,-29.90831375,-0.43063927,-29.9084956,8.10489e-06,0.0424044,88.85,53.149,44.938,1,1,1,2256,573
34036883,-0.09964386,-29.6951046,-0.09476959,-29.69281341,1.04678e-05,0.00075801,87.785,51.878,227.54,1,1,1,523,1862
17435962,-0.0828954,-29.87458611,-0.08293664,-29.87456999,3.7381e-06,0.00391057,3.913,2.936,75.062,1,1,1,461,780
14636722,-0.4956412,-29.79026985,-0.4956412,-29.79026985,5.48555e-06,0.0,1.146,0.294,97.996,2,1,1,2595,1276
32732367,-0.35746312,-29.5589447,-0.35742196,-29.55890549,0.000130132,0.00477379,3.889,3.661,356.268,1,1,1,1885,2658
27317927,-0.09424233,-29.93514633,-0.09429751,-29.93511123,3.50468e-06,0.00395851,8.043,3.157,164.948,1,1,1,519,419
32655826,-0.21204877,-29.78344917,-0.21193743,-29.78359111,3.34176e-06,0.0138666,14.038,8.034,345.251,1,1,1,1128,1321
30737782,-0.21645285,-29.64987946,-0.21642894,-29.64990572,6.08338e-06,0.00449883,14.615,4.281,231.825,1,1,1,1153,2117
31545597,-0.1592717,-29.86431503,-0.15975924,-29.86438108,8.52907e-05,0.01790675,14.877,12.724,195.758,1,1,1,858,840
18886201,-0.56277537,-29.51684761,-0.56296629,-29.51698297,0.00030506,0.00931453,13.599,12.826,155.234,1,1,1,2951,2903
18897276,-0.49461982,-29.81018639,-0.49470407,-29.80871472,3.31132e-06,0.0,109.872,39.935,274.083,1,1,1,2590,1167
12022178,-0.45473224,-29.47080231,-0.4535952,-29.47076519,3.06274e-06,0.01262781,80.793,47.035,231.23,1,1,1,2385,3181
13562857,-0.47276959,-29.72488022,-0.47262067,-29.72468724,5.5134e-06,0.09444415,50.799,45.632,352.644,1,1,1,2478,1668
31974202,-0.13128188,-29.51661873,-0.13120187,-29.51626053,5.88317e-06,0.00318845,53.039,48.159,322.066,1,1,1,713,2914
1625867,-0.5103249,-29.43461609,-0.50838127,-29.43559535,7.24046e-05,0.01438286,60.937,50.459,341.103,1,1,1,2670,3389
29592018,-0.38911083,-29.4873085,-0.38901402,-29.48743522,8.37297e-05,0.0,7.466,4.903,124.122,1,1,1,2050,3083
9311875,-0.40515855,-29.47057533,-0.40504972,-29.47047517,0.000235108,0.00839969,7.935,4.687,353.195,1,1,1,2133,3184
35044646,-0.14530471,-29.67496109,-0.14526878,-29.67491072,4.57191e-06,0.0,3.484,3.252,239.321,1,1,1,784,1969
8623489,-0.06238889,-29.8671608,-0.06240121,-29.86714506,8.55206e-06,0.0107855,2.576,2.387,351.268,1,1,1,355,824
15884447,-0.13101976,-29.76908684,-0.13106929,-29.769152,9.28781e-06,0.00333888,4.134,3.586,27.183,1,1,1,710,1407
29253555,-0.48303473,-29.83994484,-0.48310128,-29.83989455,2.5378e-05,0.01031028,6.751,2.683,92.365,1,1,1,2529,981
16554372,-0.09288351,-29.477108,-0.0928083,-29.47714868,0.00593861,0.00971677,4.377,2.163,174.191,1,1,1,514,3147
4361902,-0.01568639,-29.48336029,-0.01581277,-29.48340844,1.44079e-05,0.0087058,11.322,7.988,315.729,1,1,1,115,3110
